UserID,Age,F,M
U00000160,27,0,1
U00000161,29,0,1
U00000162,18,1,0
U00000163,18,0,1
U00000164,35,1,0
U00000165,18,0,1
U00000166,18,0,1
U00000167,25,1,0
U00000168,32,1,0
U00000169,25,0,1
U00000170,25,0,1
U00000171,32,1,0
U00000172,25,0,1
U00000173,25,0,1
U00000174,25,0,1
U00000175,25,1,0
U00000176,18,1,0
U00000177,32,0,1
U00000178,35,0,1
U00000179,25,0,1
U00000180,29,0,1
U00000181,18,0,1
U00000182,18,0,1
U00000183,29,1,0
U00000184,25,1,0
U00000185,29,0,1
U00000186,18,0,1
U00000187,29,1,0
U00000188,35,0,1
U00000189,18,0,1
U00000190,25,0,1
U00000191,18,0,1
U00000192,18,0,1
U00000193,29,1,0
U00000194,16,1,0
U00000195,25,0,1
U00000196,27,1,0
U00000197,18,0,1
U00000198,25,0,1
U00000199,18,0,1
U00000200,18,1,0
U00000201,27,1,0
U00000202,18,0,1
U00000203,18,1,0
U00000204,25,0,1
U00000205,27,0,1
U00000206,25,0,1
U00000207,25,0,1
U00000208,27,0,1
U00000209,27,0,1
U00000210,16,1,0
U00000211,29,0,1
U00000212,25,0,1
U00000213,18,1,0
U00000214,18,0,1
U00000215,27,0,1
U00000216,29,0,1
U00000217,18,0,1
U00000218,27,0,1
U00000219,25,1,0
U00000220,25,0,1
U00000221,25,1,0
U00000222,25,0,1
U00000223,25,0,1
U00000224,18,1,0
U00000225,25,0,1
U00000226,27,0,1
U00000227,27,0,1
U00000228,25,0,1
U00000229,18,0,1
U00000230,29,0,1
U00000231,25,0,1
U00000232,25,0,1
U00000233,29,1,0
U00000234,27,0,1
U00000235,25,0,1
U00000236,25,0,1
U00000237,25,0,1
U00000238,32,1,0
U00000239,18,0,1
U00000240,32,0,1
U00000241,27,0,1
U00000242,18,1,0
U00000243,25,0,1
U00000244,32,0,1
U00000245,27,0,1
U00000246,18,1,0
U00000247,25,0,1
U00000248,18,0,1
U00000249,18,1,0
U00000250,27,0,1
U00000251,35,0,1
U00000252,25,0,1
U00000253,25,1,0
U00000254,27,0,1
U00000255,27,0,1
U00000256,29,0,1
U00000257,18,0,1
U00000258,25,0,1
U00000259,25,0,1
U00000260,18,0,1
U00000261,25,0,1
U00000262,25,1,0
U00000263,25,1,0
U00000264,27,0,1
U00000265,27,1,0
U00000266,27,0,1
U00000267,29,0,1
U00000268,18,1,0
U00000269,25,0,1
U00000270,32,0,1
U00000271,18,0,1
U00000272,18,0,1
U00000273,18,0,1
U00000274,18,0,1
U00000275,25,0,1
U00000276,29,0,1
U00000277,27,1,0
U00000278,29,0,1
U00000279,25,0,1
U00000280,32,0,1
U00000281,27,1,0
U00000282,25,0,1
U00000283,25,0,1
U00000284,25,0,1
U00000285,27,1,0
U00000286,25,0,1
U00000287,32,0,1
U00000288,25,1,0
U00000289,25,1,0
U00000290,25,1,0
U00000291,27,0,1
U00000292,27,0,1
U00000293,35,0,1
U00000294,29,1,0
U00000295,18,0,1
U00000296,32,0,1
U00000297,18,0,1
U00000298,18,1,0
U00000299,25,0,1
U00000300,25,0,1
U00000301,18,0,1
U00000302,18,0,1
U00000303,25,0,1
U00000304,25,0,1
U00000305,18,1,0
U00000306,18,0,1
U00000307,32,0,1
U00000308,25,0,1
U00000309,25,0,1
U00000310,18,1,0
U00000311,18,0,1
U00000312,32,1,0
U00000313,18,1,0
U00000314,35,1,0
U00000315,35,1,0
U00000316,35,0,1
U00000317,27,0,1
U00000318,35,1,0
U00000319,32,1,0
U00000320,27,0,1
U00000321,18,0,1
U00000322,35,0,1
U00000323,29,0,1
U00000324,27,0,1
U00000325,32,1,0
U00000326,32,0,1
U00000327,27,0,1
U00000328,27,0,1
U00000329,27,0,1
U00000330,35,0,1
U00000331,25,0,1
U00000332,32,0,1
U00000333,27,0,1
U00000334,35,1,0
U00000335,27,0,1
U00000336,18,0,1
U00000337,18,0,1
U00000338,27,0,1
U00000339,32,0,1
U00000340,25,1,0
U00000341,35,1,0
U00000342,18,0,1
U00000343,27,1,0
U00000344,27,0,1
U00000345,25,0,1
U00000346,25,1,0
U00000347,35,1,0
U00000348,32,0,1
U00000349,16,0,1
U00000350,29,0,1
U00000351,18,0,1
U00000352,18,0,1
U00000353,27,1,0
U00000354,27,0,1
U00000355,18,0,1
U00000356,35,0,1
U00000357,18,0,1
U00000358,35,1,0
U00000359,25,0,1
U00000360,27,0,1
U00000361,25,1,0
U00000362,27,0,1
U00000363,18,0,1
U00000364,27,1,0
U00000365,18,1,0
U00000366,32,0,1
U00000367,32,0,1
U00000368,25,0,1
U00000369,27,0,1
U00000370,18,0,1
U00000371,18,0,1
U00000372,18,1,0
U00000373,25,1,0
U00000374,27,1,0
U00000375,25,0,1
U00000376,27,0,1
U00000377,25,0,1
U00000378,18,1,0
U00000379,27,1,0
U00000380,25,0,1
U00000381,27,0,1
U00000382,27,1,0
U00000383,25,1,0
U00000384,25,0,1
U00000385,25,0,1
U00000386,25,0,1
U00000387,27,1,0
U00000388,25,1,0
U00000389,25,0,1
U00000390,25,0,1
U00000391,29,0,1
U00000392,18,0,1
U00000393,27,0,1
U00000394,18,0,1
U00000395,18,0,1
U00000396,25,0,1
U00000397,27,0,1
U00000398,25,0,1
U00000399,27,1,0
U00000400,18,1,0
U00000401,18,0,1
U00000402,25,0,1
U00000403,18,0,1
U00000404,18,0,1
U00000405,35,0,1
U00000406,25,0,1
U00000407,18,0,1
U00000408,25,0,1
U00000409,18,0,1
U00000410,25,1,0
U00000411,29,1,0
U00000412,27,0,1
U00000413,25,0,1
U00000414,25,0,1
U00000415,27,1,0
U00000416,29,0,1
U00000417,25,1,0
U00000418,25,1,0
U00000419,18,0,1
U00000420,27,0,1
U00000421,29,1,0
U00000422,35,0,1
U00000423,18,0,1
U00000424,25,0,1
U00000425,25,0,1
U00000426,18,0,1
U00000427,27,0,1
U00000428,18,1,0
U00000429,18,0,1
U00000430,18,1,0
U00000431,18,0,1
U00000432,29,0,1
U00000433,32,0,1
U00000434,29,1,0
U00000435,25,0,1
U00000436,18,0,1
U00000437,27,0,1
U00000438,18,0,1
U00000439,27,0,1
U00000440,35,0,1
U00000441,27,0,1
U00000442,25,0,1
U00000443,25,0,1
U00000444,35,0,1
U00000445,29,0,1
U00000446,32,1,0
U00000447,29,1,0
U00000448,25,0,1
U00000449,25,0,1
U00000450,29,0,1
U00000451,35,0,1
U00000452,32,0,1
U00000453,18,0,1
U00000454,25,0,1
U00000455,27,1,0
U00000456,27,0,1
U00000457,18,0,1
U00000458,32,0,1
U00000459,18,1,0
U00000460,29,0,1
U00000461,32,0,1
U00000462,18,0,1
U00000463,25,0,1
U00000464,18,1,0
U00000465,18,0,1
U00000466,25,0,1
U00000467,27,1,0
U00000468,16,1,0
U00000469,27,0,1
U00000470,16,1,0
U00000471,27,0,1
U00000472,27,0,1
U00000473,18,1,0
U00000474,25,0,1
U00000475,25,1,0
U00000476,27,0,1
U00000477,27,0,1
U00000478,32,0,1
U00000479,25,0,1
U00000480,18,1,0
U00000481,29,0,1
U00000482,25,0,1
U00000483,18,0,1
U00000484,16,1,0
U00000485,35,0,1
U00000486,35,0,1
U00000487,27,1,0
U00000488,25,0,1
U00000489,18,0,1
U00000490,16,0,1
U00000491,18,0,1
U00000492,25,0,1
U00000493,32,0,1
U00000494,27,1,0
U00000495,18,0,1
U00000496,18,0,1
U00000497,25,1,0
U00000498,27,0,1
U00000499,25,1,0
U00000500,18,1,0
U00000501,25,0,1
U00000502,27,0,1
U00000503,27,0,1
U00000504,25,0,1
U00000505,27,0,1
U00000506,25,0,1
U00000507,25,1,0
U00000508,25,0,1
U00000509,25,0,1
U00000510,18,0,1
U00000511,29,1,0
U00000512,27,0,1
U00000513,25,0,1
U00000514,25,0,1
U00000515,25,0,1
U00000516,35,1,0
U00000517,25,1,0
U00000518,27,1,0
U00000519,27,1,0
U00000520,27,1,0
U00000521,35,0,1
U00000522,25,0,1
U00000523,32,0,1
U00000524,18,0,1
U00000525,27,0,1
U00000526,29,0,1
U00000527,25,1,0
U00000528,18,1,0
U00000529,27,0,1
U00000530,25,0,1
U00000531,18,1,0
U00000532,25,0,1
U00000533,25,0,1
U00000534,25,0,1
U00000535,27,0,1
U00000536,25,0,1
U00000537,29,0,1
U00000538,35,0,1
U00000539,25,0,1
U00000540,18,0,1
U00000541,18,1,0
U00000542,18,0,1
U00000543,25,0,1
U00000544,27,0,1
U00000545,27,0,1
U00000546,25,1,0
U00000547,27,0,1
U00000548,27,1,0
U00000549,25,0,1
U00000550,29,0,1
U00000551,27,0,1
U00000552,32,0,1
U00000553,25,0,1
U00000554,25,0,1
U00000555,18,0,1
U00000556,25,1,0
U00000557,35,0,1
U00000558,27,0,1
U00000559,25,1,0
U00000560,29,0,1
U00000561,18,1,0
U00000562,27,0,1
U00000563,25,0,1
U00000564,29,0,1
U00000565,25,0,1
U00000566,25,0,1
U00000567,27,0,1
U00000568,32,1,0
U00000569,18,1,0
U00000570,25,0,1
U00000571,32,0,1
U00000572,18,0,1
U00000573,27,1,0
U00000574,25,0,1
U00000575,25,0,1
U00000576,29,1,0
U00000577,27,0,1
U00000578,18,0,1
U00000579,25,0,1
U00000580,16,0,1
U00000581,32,0,1
U00000582,18,0,1
U00000583,25,1,0
U00000584,25,1,0
U00000585,18,0,1
U00000586,27,0,1
U00000587,25,0,1
U00000588,25,1,0
U00000589,18,0,1
U00000590,27,1,0
U00000591,25,0,1
U00000592,18,0,1
U00000593,32,1,0
U00000594,35,1,0
U00000595,25,0,1
U00000596,25,1,0
U00000597,27,0,1
U00000598,27,0,1
U00000599,32,0,1
U00000600,27,0,1
U00000601,18,1,0
U00000602,35,1,0
U00000603,25,1,0
U00000604,29,0,1
U00000605,18,1,0
U00000606,16,1,0
U00000607,25,0,1
U00000608,18,0,1
U00000609,25,0,1
U00000610,25,0,1
U00000611,27,0,1
U00000612,32,0,1
U00000613,27,0,1
U00000614,27,0,1
U00000615,32,0,1
U00000616,25,0,1
U00000617,25,1,0
U00000618,25,0,1
U00000619,18,1,0
U00000620,18,0,1
U00000621,18,0,1
U00000622,25,0,1
U00000623,25,0,1
U00000624,25,0,1
U00000625,27,1,0
U00000626,18,0,1
U00000627,32,0,1
U00000628,27,1,0
U00000629,16,1,0
U00000630,27,1,0
U00000631,27,0,1
U00000632,29,0,1
U00000633,25,0,1
U00000634,16,1,0
U00000635,35,0,1
U00000636,18,0,1
U00000637,27,0,1
U00000638,25,0,1
U00000639,29,0,1
U00000640,18,0,1
U00000641,27,1,0
U00000642,27,1,0
U00000643,25,0,1
U00000644,25,0,1
U00000645,27,0,1
U00000646,27,0,1
U00000647,27,0,1
U00000648,25,1,0
U00000649,25,0,1
U00000650,25,0,1
U00000651,27,0,1
U00000652,18,0,1
U00000653,35,0,1
U00000654,32,0,1
U00000655,25,1,0
U00000656,29,1,0
U00000657,32,1,0
U00000658,25,1,0
U00000659,25,1,0
U00000660,29,0,1
U00000661,29,0,1
U00000662,18,0,1
U00000663,25,1,0
U00000664,27,0,1
U00000665,18,0,1
U00000666,18,1,0
U00000667,25,0,1
U00000668,25,1,0
U00000669,25,0,1
U00000670,25,0,1
U00000671,18,0,1
U00000672,27,0,1
U00000673,25,0,1
U00000674,25,0,1
U00000675,25,0,1
U00000676,18,0,1
U00000677,32,0,1
U00000678,25,0,1
U00000679,27,0,1
U00000680,25,0,1
U00000681,27,0,1
U00000682,25,0,1
U00000683,25,0,1
U00000684,25,0,1
U00000685,25,0,1
U00000686,18,0,1
U00000687,25,1,0
U00000688,35,0,1
U00000689,32,1,0
U00000690,25,0,1
U00000691,27,0,1
U00000692,25,1,0
U00000693,27,0,1
U00000694,18,0,1
U00000695,18,1,0
U00000696,25,0,1
U00000697,32,1,0
U00000698,18,0,1
U00000699,18,0,1
U00000700,32,0,1
U00000701,18,1,0
U00000702,27,0,1
U00000703,35,1,0
U00000704,27,1,0
U00000705,25,0,1
U00000706,27,0,1
U00000707,27,0,1
U00000708,25,0,1
U00000709,18,0,1
U00000710,25,0,1
U00000711,25,0,1
U00000712,25,0,1
U00000713,27,0,1
U00000714,18,0,1
U00000715,18,0,1
U00000716,18,0,1
U00000717,25,0,1
U00000718,18,0,1
U00000719,16,0,1
U00000720,18,0,1
U00000721,27,1,0
U00000722,25,0,1
U00000723,25,0,1
U00000724,32,0,1
U00000725,35,0,1
U00000726,25,1,0
U00000727,27,0,1
U00000728,25,0,1
U00000729,27,0,1
U00000730,25,0,1
U00000731,29,0,1
U00000732,25,0,1
U00000733,27,0,1
U00000734,25,0,1
U00000735,25,0,1
U00000736,18,0,1
U00000737,16,0,1
U00000738,18,0,1
U00000739,27,0,1
U00000740,25,0,1
U00000741,25,0,1
U00000742,18,0,1
U00000743,16,1,0
U00000744,25,0,1
U00000745,16,0,1
U00000746,18,1,0
U00000747,18,0,1
U00000748,25,0,1
U00000749,27,0,1
U00000750,27,1,0
U00000751,25,1,0
U00000752,25,1,0
U00000753,16,0,1
U00000754,27,0,1
U00000755,27,1,0
U00000756,27,0,1
U00000757,25,0,1
U00000758,27,0,1
U00000759,35,1,0
U00000760,35,0,1
U00000761,18,0,1
U00000762,16,0,1
U00000763,18,0,1
U00000764,18,0,1
U00000765,25,0,1
U00000766,25,1,0
U00000767,25,0,1
U00000768,25,0,1
U00000769,29,0,1
U00000770,18,0,1
U00000771,32,1,0
U00000772,18,0,1
U00000773,25,0,1
U00000774,18,0,1
U00000775,16,0,1
U00000776,25,1,0
U00000777,18,0,1
U00000778,18,0,1
U00000779,25,0,1
U00000780,25,0,1
U00000781,18,0,1
U00000782,35,0,1
U00000783,25,0,1
U00000784,18,0,1
U00000785,18,0,1
U00000786,25,0,1
U00000787,18,0,1
U00000788,25,0,1
U00000789,18,0,1
U00000790,25,0,1
U00000791,27,0,1
U00000792,25,0,1
U00000793,27,1,0
U00000794,32,0,1
U00000795,27,1,0
U00000796,32,0,1
U00000797,32,1,0
U00000798,25,1,0
U00000799,25,1,0
U00000800,27,1,0
U00000801,25,1,0
U00000802,25,0,1
U00000803,18,0,1
U00000804,25,0,1
U00000805,27,0,1
U00000806,27,0,1
U00000807,18,0,1
U00000808,25,0,1
U00000809,25,0,1
U00000810,25,0,1
U00000811,32,0,1
U00000812,25,0,1
U00000813,18,0,1
U00000814,18,1,0
U00000815,25,0,1
U00000816,29,0,1
U00000817,18,0,1
U00000818,18,0,1
U00000819,27,0,1
U00000820,27,0,1
U00000821,18,0,1
U00000822,25,1,0
U00000823,25,0,1
U00000824,27,0,1
U00000825,35,0,1
U00000826,27,1,0
U00000827,29,0,1
U00000828,18,0,1
U00000829,16,0,1
U00000830,27,0,1
U00000831,29,1,0
U00000832,18,0,1
U00000833,27,0,1
U00000834,27,1,0
U00000835,35,0,1
U00000836,25,0,1
U00000837,35,0,1
U00000838,32,0,1
U00000839,25,0,1
U00000840,25,1,0
U00000841,32,1,0
U00000842,18,1,0
U00000843,25,0,1
U00000844,25,0,1
U00000845,18,1,0
U00000846,25,0,1
U00000847,25,1,0
U00000848,25,0,1
U00000849,25,0,1
U00000850,27,0,1
U00000851,18,0,1
U00000852,25,0,1
U00000853,25,0,1
U00000854,25,1,0
U00000855,18,1,0
U00000856,29,1,0
U00000857,27,0,1
U00000858,27,0,1
U00000859,25,0,1
U00000860,18,0,1
U00000861,25,0,1
U00000862,27,0,1
U00000863,25,0,1
U00000864,25,1,0
U00000865,27,0,1
U00000866,16,0,1
U00000867,29,0,1
U00000868,32,0,1
U00000869,18,0,1
U00000870,25,1,0
U00000871,16,0,1
U00000872,32,0,1
U00000873,35,0,1
U00000874,29,0,1
U00000875,16,0,1
U00000876,25,0,1
U00000877,25,0,1
U00000878,18,0,1
U00000879,29,0,1
U00000880,27,0,1
U00000881,18,0,1
U00000882,18,0,1
U00000883,27,1,0
U00000884,16,0,1
U00000885,27,0,1
U00000886,35,1,0
U00000887,35,1,0
U00000888,16,1,0
U00000889,29,0,1
U00000890,18,0,1
U00000891,25,0,1
U00000892,27,0,1
U00000893,32,1,0
U00000894,18,0,1
U00000895,32,0,1
U00000896,18,0,1
U00000897,25,0,1
U00000898,25,0,1
U00000899,25,1,0
U00000900,35,1,0
U00000901,35,1,0
U00000902,35,0,1
U00000903,35,0,1
U00000904,27,0,1
U00000905,29,1,0
U00000906,16,0,1
U00000907,29,1,0
U00000908,32,1,0
U00000909,29,0,1
U00000910,32,1,0
U00000911,32,0,1
U00000912,27,1,0
U00000913,25,0,1
U00000914,27,1,0
U00000915,25,0,1
U00000916,25,1,0
U00000917,32,0,1
U00000918,29,1,0
U00000919,27,1,0
U00000920,18,0,1
U00000921,25,0,1
U00000922,35,0,1
U00000923,25,0,1
U00000924,32,0,1
U00000925,27,1,0
U00000926,16,0,1
U00000927,25,1,0
U00000928,35,1,0
U00000929,25,0,1
U00000930,25,0,1
U00000931,35,1,0
U00000932,27,1,0
U00000933,29,0,1
U00000934,27,1,0
U00000935,27,0,1
U00000936,18,0,1
U00000937,25,0,1
U00000938,25,1,0
U00000939,25,1,0
U00000940,16,0,1
U00000941,18,0,1
U00000942,32,1,0
U00000943,29,1,0
U00000944,27,0,1
U00000945,29,0,1
U00000946,27,0,1
U00000947,18,0,1
U00000948,35,0,1
U00000949,32,0,1
U00000950,27,0,1
U00000951,29,0,1
U00000952,35,0,1
U00000953,32,0,1
U00000954,25,1,0
U00000955,32,1,0
U00000956,27,0,1
U00000957,27,0,1
U00000958,27,0,1
U00000959,32,0,1
U00000960,16,0,1
U00000961,18,0,1
U00000962,25,1,0
U00000963,25,0,1
U00000964,25,0,1
U00000965,35,0,1
U00000966,35,0,1
U00000967,18,1,0
U00000968,32,0,1
U00000969,25,1,0
U00000970,25,0,1
U00000971,25,0,1
U00000972,29,0,1
U00000973,25,1,0
U00000974,27,0,1
U00000975,27,0,1
U00000976,27,0,1
U00000977,25,0,1
U00000978,18,0,1
U00000979,16,0,1
U00000980,25,0,1
U00000981,25,0,1
U00000982,25,1,0
U00000983,25,1,0
U00000984,32,0,1
U00000985,25,0,1
U00000986,35,1,0
U00000987,27,1,0
U00000988,32,0,1
U00000989,32,0,1
U00000990,18,0,1
U00000991,25,1,0
U00000992,27,1,0
U00000993,25,0,1
U00000994,18,0,1
U00000995,18,1,0
U00000996,25,0,1
U00000997,16,0,1
U00000998,29,0,1
U00000999,25,0,1
U00001000,25,1,0
U00001001,25,0,1
U00001002,32,0,1
U00001003,25,0,1
U00001004,25,0,1
U00001005,27,0,1
U00001006,18,0,1
U00001007,32,0,1
U00001008,27,0,1
U00001009,32,0,1
U00001010,25,0,1
U00001011,25,0,1
U00001012,27,1,0
U00001013,35,0,1
U00001014,29,1,0
U00001015,27,0,1
U00001016,35,0,1
U00001017,27,0,1
U00001018,18,0,1
U00001019,27,0,1
U00001020,18,0,1
U00001021,27,0,1
U00001022,25,0,1
U00001023,35,0,1
U00001024,27,1,0
U00001025,25,0,1
U00001026,29,1,0
U00001027,18,0,1
U00001028,29,1,0
U00001029,25,0,1
U00001030,25,0,1
U00001031,27,0,1
U00001032,32,0,1
U00001033,25,0,1
U00001034,27,1,0
U00001035,18,0,1
U00001036,27,0,1
U00001037,29,0,1
U00001038,35,1,0
U00001039,27,1,0
U00001040,25,0,1
U00001041,29,0,1
U00001042,27,0,1
U00001043,32,1,0
U00001044,25,0,1
U00001045,16,1,0
U00001046,35,0,1
U00001047,18,0,1
U00001048,27,0,1
U00001049,29,0,1
U00001050,25,0,1
U00001051,25,1,0
U00001052,27,1,0
U00001053,27,0,1
U00001054,16,0,1
U00001055,27,0,1
U00001056,16,0,1
U00001057,29,0,1
U00001058,25,0,1
U00001059,25,1,0
U00001060,18,0,1
U00001061,29,0,1
U00001062,32,0,1
U00001063,27,0,1
U00001064,25,0,1
U00001065,25,1,0
U00001066,29,0,1
U00001067,27,0,1
U00001068,18,1,0
U00001069,25,0,1
U00001070,29,1,0
U00001071,32,0,1
U00001072,27,1,0
U00001073,25,1,0
U00001074,29,0,1
U00001075,25,1,0
U00001076,25,1,0
U00001077,25,0,1
U00001078,29,1,0
U00001079,25,0,1
U00001080,35,0,1
U00001081,18,0,1
U00001082,29,0,1
U00001083,35,0,1
U00001084,16,0,1
U00001085,25,0,1
U00001086,18,0,1
U00001087,25,0,1
U00001088,16,1,0
U00001089,27,0,1
U00001090,25,0,1
U00001091,18,0,1
U00001092,18,1,0
U00001093,32,0,1
U00001094,18,1,0
U00001095,35,1,0
U00001096,16,0,1
U00001097,18,0,1
U00001098,27,0,1
U00001099,25,0,1
U00001100,25,0,1
U00001101,27,0,1
U00001102,18,0,1
U00001103,29,1,0
U00001104,27,0,1
U00001105,27,0,1
U00001106,18,0,1
U00001107,32,1,0
U00001108,35,0,1
U00001109,18,0,1
U00001110,35,1,0
U00001111,32,1,0
U00001112,18,0,1
U00001113,18,0,1
U00001114,18,1,0
U00001115,25,1,0
U00001116,25,0,1
U00001117,18,0,1
U00001118,32,0,1
U00001119,27,0,1
U00001120,18,0,1
U00001121,35,0,1
U00001122,35,0,1
U00001123,32,0,1
U00001124,25,0,1
U00001125,18,1,0
U00001126,35,0,1
U00001127,25,0,1
U00001128,25,0,1
U00001129,27,0,1
U00001130,18,0,1
U00001131,35,0,1
U00001132,18,0,1
U00001133,18,0,1
U00001134,18,0,1
U00001135,32,0,1
U00001136,27,1,0
U00001137,18,0,1
U00001138,18,0,1
U00001139,25,0,1
U00001140,29,1,0
U00001141,25,1,0
U00001142,18,0,1
U00001143,32,0,1
U00001144,25,0,1
U00001145,32,0,1
U00001146,18,1,0
U00001147,25,0,1
U00001148,27,0,1
U00001149,25,0,1
U00001150,25,1,0
U00001151,25,0,1
U00001152,18,0,1
U00001153,18,0,1
U00001154,16,1,0
U00001155,25,0,1
U00001156,32,1,0
U00001157,29,0,1
U00001158,27,1,0
U00001159,18,0,1
U00001160,18,0,1
U00001161,25,0,1
U00001162,27,1,0
U00001163,16,0,1
U00001164,25,1,0
U00001165,25,0,1
U00001166,35,0,1
U00001167,32,1,0
U00001168,25,1,0
U00001169,25,0,1
U00001170,35,0,1
U00001171,29,0,1
U00001172,25,1,0
U00001173,25,1,0
U00001174,18,1,0
U00001175,25,1,0
U00001176,35,0,1
U00001177,25,1,0
U00001178,35,0,1
U00001179,32,0,1
U00001180,32,1,0
U00001181,27,0,1
U00001182,16,0,1
U00001183,27,0,1
U00001184,25,1,0
U00001185,27,1,0
U00001186,18,0,1
U00001187,16,1,0
U00001188,29,0,1
U00001189,25,0,1
U00001190,29,0,1
U00001191,27,1,0
U00001192,32,0,1
U00001193,25,0,1
U00001194,25,1,0
U00001195,16,1,0
U00001196,18,1,0
U00001197,27,0,1
U00001198,16,0,1
U00001199,32,0,1
U00001200,16,0,1
U00001201,18,0,1
U00001202,27,0,1
U00001203,25,1,0
U00001204,25,0,1
U00001205,35,1,0
U00001206,32,1,0
U00001207,32,0,1
U00001208,25,0,1
U00001209,27,0,1
U00001210,25,0,1
U00001211,18,0,1
U00001212,32,1,0
U00001213,32,0,1
U00001214,35,0,1
U00001215,27,0,1
U00001216,25,0,1
U00001217,25,0,1
U00001218,35,0,1
U00001219,25,0,1
U00001220,16,0,1
U00001221,18,0,1
U00001222,27,0,1
U00001223,25,0,1
U00001224,32,0,1
U00001225,29,0,1
U00001226,18,0,1
U00001227,32,0,1
U00001228,25,0,1
U00001229,25,1,0
U00001230,25,0,1
U00001231,25,0,1
U00001232,18,1,0
U00001233,29,1,0
U00001234,18,0,1
U00001235,25,1,0
U00001236,25,1,0
U00001237,18,0,1
U00001238,27,1,0
U00001239,25,1,0
U00001240,18,1,0
U00001241,16,0,1
U00001242,27,1,0
U00001243,27,0,1
U00001244,25,0,1
U00001245,25,0,1
U00001246,18,0,1
U00001247,27,0,1
U00001248,27,1,0
U00001249,27,0,1
U00001250,32,0,1
U00001251,25,0,1
U00001252,35,0,1
U00001253,27,1,0
U00001254,18,1,0
U00001255,25,0,1
U00001256,25,0,1
U00001257,18,1,0
U00001258,29,0,1
U00001259,27,0,1
U00001260,25,0,1
U00001261,18,0,1
U00001262,25,0,1
U00001263,16,0,1
U00001264,25,0,1
U00001265,18,1,0
U00001266,25,0,1
U00001267,25,0,1
U00001268,32,0,1
U00001269,35,1,0
U00001270,25,0,1
